Data Logged From Pressure Experiment,,,
Temperature (C),Pressure,Valve State,Time S
25.25,72.66,0,166.86
25.25,72.67,0,166.94
25.25,72.69,0,167.01
25.25,72.67,0,167.09
25.25,72.66,0,167.17
25.25,72.67,0,167.25
25.25,72.67,0,167.33
25.25,72.67,0,167.41
25.25,72.66,0,167.49
25.25,72.67,0,167.56
25.25,72.67,0,167.64
25.25,72.67,0,167.72
25.25,72.67,0,167.8
25.25,72.66,0,167.88
25.25,72.69,0,167.96
25.25,72.67,0,168.04
25.25,72.66,0,168.11
25.25,72.67,0,168.19
25.25,72.67,0,168.27
25.25,72.66,0,168.35
25.25,72.69,0,168.43
25.25,72.67,0,168.51
25.25,72.67,0,168.59
25.25,72.67,0,168.66
25.25,72.67,0,168.74
25.25,72.67,0,168.82
25.25,72.67,0,168.9
25.25,72.67,0,168.98
25.25,72.66,0,169.06
25.25,72.67,0,169.13
25.25,72.69,0,169.21
25,72.67,0,169.29
25,72.66,0,169.37
0,72.69,0,169.45
25,72.67,0,169.53
25.25,72.67,0,169.61
25.25,72.66,0,169.69
25.25,72.67,0,169.76
25,72.7,0,169.84
25.25,72.67,0,169.92
25,72.66,0,170
25,72.69,0,170.08
25.25,72.67,0,170.16
25,72.66,0,170.24
25,72.67,0,170.31
25.25,72.69,0,170.39
25.25,72.69,0,170.47
25.25,72.67,0,170.55
25.25,72.69,0,170.63
25.25,72.69,0,170.71
25.5,72.69,0,170.78
25,72.69,0,170.86
25.25,72.67,0,170.94
25.25,72.69,0,171.02
25.25,72.67,0,171.1
25,72.67,0,171.18
25.25,72.67,0,171.26
25.25,72.69,0,171.34
25.25,72.69,0,171.41
25.25,72.67,0,171.49
25.25,72.67,0,171.57
25.25,72.7,0,171.65
25.25,72.69,0,171.73
25.25,72.67,0,171.81
25,72.67,0,171.88
25,72.69,0,171.96
25,72.69,0,172.04
25.25,72.67,0,172.12
25,72.69,0,172.2
25,72.69,0,172.28
25.25,72.69,0,172.36
25.25,72.67,0,172.44
25.25,72.67,0,172.51
25.25,72.67,0,172.59
25.25,72.69,0,172.67
25.25,72.69,0,172.75
25,72.7,0,172.83
25.25,72.67,0,172.91
25.25,72.69,0,172.99
25.25,72.69,0,173.06
25.25,72.69,0,173.14
25,72.67,0,173.22
25.25,72.69,0,173.3
25.25,72.67,0,173.38
25,72.7,0,173.46
25.25,72.69,0,173.54
25.25,72.72,0,173.61
25,72.67,0,173.69
25.25,72.69,0,173.77
25.25,72.69,0,173.85
25.25,72.69,0,173.93
25.25,72.67,0,174.01
25.25,72.7,0,174.09
25.25,72.69,0,174.16
25,72.67,0,174.24
25,72.69,0,174.32
25,72.69,0,174.4
25,72.67,0,174.48
25.25,72.69,0,174.56
25,72.67,0,174.64
25,72.7,0,174.71
25.25,72.7,0,174.79
25.25,72.69,0,174.87
25.25,72.67,0,174.95
25.25,72.69,0,175.03
25.25,72.69,0,175.11
25.25,72.69,0,175.19
25,72.69,0,175.26
25.25,72.69,0,175.34
25.25,72.69,0,175.42
25.25,72.69,0,175.5
25.25,72.69,0,175.58
25.25,72.7,0,175.66
25,72.7,0,175.74
25.25,72.7,0,175.81
25.25,72.67,0,175.89
25.25,72.69,0,175.97
25,72.7,0,176.05
25,72.69,0,176.13
25.25,72.67,0,176.21
25,72.69,0,176.29
25.25,72.69,0,176.36
25.25,72.69,0,176.44
25.25,72.69,0,176.52
25.25,72.69,0,176.6
25,72.69,0,176.68
25.25,72.7,0,176.76
25.25,72.69,0,176.84
25.25,72.69,0,176.91
25,72.7,0,176.99
25,72.69,0,177.07
25,72.69,0,177.15
25,72.7,0,177.23
25.25,72.7,0,177.31
25.25,72.69,0,177.39
25.25,72.69,0,177.47
25.25,72.7,0,177.54
25.25,72.7,0,177.62
25.25,72.69,0,177.7
25.25,72.69,0,177.78
25.25,72.7,0,177.86
25.25,72.69,0,177.94
25.25,72.69,0,178.01
25.25,72.67,0,178.09
25.25,72.7,0,178.17
25.25,72.72,0,178.25
25,72.69,0,178.33
25.25,72.67,0,178.41
25.25,72.7,0,178.49
25.25,72.7,0,178.56
25.25,72.69,0,178.64
25.25,72.69,0,178.72
25,72.73,0,178.8
25.25,72.7,0,178.88
25.25,72.69,0,178.96
25.25,72.69,0,179.04
25.25,72.7,0,179.11
25,72.7,0,179.19
25,72.69,0,179.27
25.25,72.69,0,179.35
25,72.72,0,179.43
25,72.7,0,179.51
25.25,72.69,0,179.59
25.25,72.69,0,179.66
25,72.72,0,179.74
25.25,72.72,0,179.82
25.25,72.69,0,179.9
25.25,72.69,0,179.98
25.25,72.72,0,180.06
25.25,72.7,0,180.14
25.25,72.69,0,180.21
25,72.69,0,180.29
25.25,72.7,0,180.37
25.25,72.7,0,180.45
25.25,72.7,0,180.53
25.25,72.69,0,180.61
25.25,72.7,0,180.69
25.25,72.7,0,180.76
25.25,72.69,0,180.84
25.25,72.69,0,180.92
25.25,72.7,0,181
25,72.7,0,181.08
25.25,72.69,0,181.16
25.25,72.7,0,181.24
25.25,72.7,0,181.32
25.25,72.66,1,181.39
25.25,70.73,1,181.47
25,65.61,1,181.55
0,61.05,1,181.63
25,56.88,1,181.71
25,53.06,1,181.79
25,49.59,1,181.86
24.75,46.36,1,181.94
24.75,43.34,1,182.02
24.75,40.5,1,182.1
24.5,37.83,1,182.18
24.25,35.31,1,182.26
24,32.92,1,182.34
24,30.67,1,182.41
23.75,28.59,1,182.49
23.75,26.62,1,182.57
23.75,24.8,1,182.65
23.75,23.02,1,182.73
23.5,21.34,1,182.81
23.5,19.78,1,182.89
0,18.27,1,182.96
23.5,16.84,1,183.04
23.25,15.48,1,183.12
23.5,14.2,1,183.2
23.25,12.97,1,183.28
0,11.8,1,183.36
23.25,10.7,1,183.44
23.25,9.66,1,183.51
23.25,8.63,1,183.59
23.25,7.67,1,183.67
23.25,6.78,1,183.75
0,5.92,1,183.83
23.25,5.09,1,183.9
23.25,4.33,1,183.98
23,3.66,1,184.06
23.25,3.03,1,184.14
23.25,2.45,1,184.22
23.25,1.95,1,184.3
0,1.55,1,184.38
23,1.19,1,184.45
23.25,0.88,1,184.53
23,0.66,1,184.61
23.25,0.5,1,184.69
23,0.36,1,184.77
23,0.28,1,184.85
23,0.25,1,184.92
23.25,0.22,1,185
0,0.2,1,185.08
23,0.19,1,185.16
23,0.2,1,185.24
23,0.2,1,185.32
23.25,0.19,1,185.4
23,0.19,1,185.47
23.25,0.2,1,185.55
23.25,0.19,1,185.63
0,0.17,1,185.71
23.25,0.19,1,185.79
23.25,0.19,1,185.87
23.25,0.19,1,185.94
23.5,0.19,1,186.02
23.25,0.19,1,186.1
23.25,0.19,1,186.18
23.25,0.17,1,186.26
23.5,0.17,1,186.34
23.25,0.19,1,186.41
23.25,0.19,1,186.49
23.25,0.17,1,186.57
23.25,0.17,1,186.65
23.5,0.19,1,186.73
23.5,0.19,1,186.81
23.5,0.17,1,186.88
23.5,0.17,1,186.96
23.5,0.17,1,187.04
23.5,0.19,1,187.12
23.5,0.17,1,187.2
23.75,0.17,1,187.28
23.5,0.19,1,187.36
23.5,0.17,1,187.43
23.75,0.16,1,187.51
23.5,0.17,1,187.59
23.5,0.17,1,187.67
23.75,0.16,1,187.75
0,0.16,1,187.83
23.5,0.17,1,187.9
23.75,0.17,1,187.98
23.75,0.16,1,188.06
23.5,0.16,1,188.14
0,0.19,1,188.22
23.75,0.17,1,188.3
23.5,0.17,1,188.37
0,0.17,1,188.45
23.75,0.17,1,188.53
23.75,0.17,1,188.61
23.75,0.16,1,188.69
23.75,0.17,1,188.77
0,0.17,1,188.84
23.75,0.17,1,188.92
23.75,0.16,1,189
23.75,0.17,1,189.08
23.75,0.17,1,189.16
23.75,0.16,1,189.24
23.75,0.14,1,189.31
23.75,0.17,1,189.39
0,0.17,1,189.47
24,0.16,1,189.55
23.75,0.16,1,189.63
24,0.19,1,189.71
23.75,0.19,1,189.79
23.75,0.16,1,189.86
24,0.16,1,189.94
24,0.17,1,190.02
24,0.16,1,190.1
24,0.14,1,190.18
24,0.16,1,190.26
24,0.17,1,190.33
24,0.17,1,190.41
24,0.16,1,190.49
24,0.17,1,190.57
24,0.17,1,190.65
24,0.16,1,190.73
24.25,0.16,1,190.8
24.25,0.17,1,190.88
24.25,0.17,1,190.96
24,0.16,1,191.04
24,0.16,1,191.12
0,0.17,1,191.2
24.25,0.17,1,191.27
24.25,0.16,1,191.35
24,0.17,1,191.43
24,0.17,1,191.51
24.25,0.17,1,191.59
24.25,0.14,1,191.67
24.25,0.16,1,191.75
24.25,0.17,1,191.83
24.25,0.16,1,191.9
24.25,0.16,1,191.98
24.25,0.16,1,192.06
24.25,0.17,1,192.14
0,0.16,1,192.22
24.25,0.16,1,192.29
24,0.17,1,192.37
24.25,0.17,1,192.45
24,0.16,1,192.53
24.25,0.16,1,192.61
24,0.17,1,192.69
24,0.17,1,192.77
24.25,0.16,1,192.84
24.25,0.16,1,192.92
24.25,0.17,1,193
0,0.16,1,193.08
24.25,0.17,1,193.16
24.25,0.17,1,193.24
0,0.17,1,193.31
24.25,0.16,1,193.39
24.25,0.14,1,193.47
24.25,0.17,1,193.55
24.25,0.17,1,193.63
24.25,0.16,1,193.71
0,0.16,1,193.78
24.25,0.16,1,193.86
24.25,0.17,1,193.94
24.25,0.16,1,194.02
0,0.16,1,194.1
24.5,0.17,1,194.18
24.5,0.17,1,194.25
24.25,0.14,1,194.33
24.25,0.16,1,194.41
24.25,0.17,1,194.49
24.25,0.16,1,194.57
0,0.16,1,194.65
24.25,0.16,1,194.72
24.25,0.17,1,194.8
24.25,0.16,1,194.88
24.5,0.14,1,194.96
24.25,0.17,1,195.04
24.5,0.17,1,195.12
24.25,0.14,1,195.2
24.5,0.16,1,195.27
24.5,0.17,1,195.35
24.5,0.17,1,195.43
24.25,0.16,1,195.51
24.25,0.16,1,195.59
24.5,0.17,1,195.66
24.5,0.16,1,195.74
24.5,0.16,1,195.82
24.25,0.17,1,195.9
0,0.17,1,195.98
24.25,0.16,1,196.06
24.5,0.16,1,196.14
24.25,0.16,1,196.22
24.25,0.16,1,196.29
24.5,0.14,1,196.37
24.5,0.14,1,196.45
0,0.17,1,196.53
24.5,0.17,1,196.61
24.5,0.16,1,196.68
24.5,0.16,1,196.76
0,0.16,1,196.84
24.5,0.16,1,196.92
24.5,0.16,1,197
24.5,0.16,1,197.08
24.5,0.16,1,197.16
24.5,0.16,1,197.23
24.5,0.16,1,197.31
24.25,0.17,1,197.39
24.5,0.17,1,197.47
24.5,0.16,1,197.55
24.5,0.16,1,197.63
24.5,0.16,1,197.7
24.5,0.17,1,197.78
24.5,0.16,1,197.86
0,0.16,1,197.94
24.5,0.17,1,198.02
24.5,0.16,1,198.1
24.5,0.14,1,198.18
24.5,0.16,1,198.25
24.5,0.16,1,198.33
24.5,0.16,1,198.41
0,0.16,1,198.49
24.5,0.16,1,198.57
24.5,0.16,1,198.64
24.5,0.14,1,198.72
24.5,0.14,1,198.8
0,0.17,1,198.88
24.5,0.16,1,198.96
24.5,0.14,1,199.04
24.75,0.14,1,199.11
24.5,0.17,1,199.19
24.5,0.17,1,199.27
24.5,0.16,1,199.35
24.5,0.16,1,199.43
24.5,0.16,1,199.51
24.5,0.16,1,199.59
24.5,0.16,1,199.66
24.5,0.16,1,199.74
24.5,0.17,1,199.82
0,0.16,1,199.9
24.5,0.16,1,199.98
24.5,0.16,1,200.06
24.5,0.16,1,200.13
24.5,0.16,1,200.21
24.5,0.14,1,200.29
24.5,0.16,1,200.37
24.5,0.16,1,200.45
24.5,0.16,1,200.53
24.5,0.14,1,200.61
24.5,0.17,1,200.68
24.5,0.17,1,200.76
24.5,0.16,1,200.84
24.5,0.16,1,200.92
24.5,0.16,1,201
24.75,0.17,1,201.08
24.5,0.14,1,201.15
24.5,0.14,1,201.23
24.5,0.16,1,201.31
24.5,0.16,1,201.39
24.5,0.14,1,201.47
24.5,0.14,1,201.55
24.5,0.16,1,201.63
24.5,0.16,1,201.7
24.5,0.16,1,201.78
24.5,0.16,1,201.86
24.5,0.17,1,201.94
24.5,0.16,1,202.02
24.5,0.14,1,202.1
24.5,0.16,1,202.17
24.75,0.17,1,202.25
24.5,0.14,1,202.33
0,0.16,1,202.41
24.75,0.16,1,202.49
0,0.17,1,202.57
24.5,0.14,1,202.64
24.5,0.16,1,202.72
24.75,0.17,1,202.8
24.5,0.16,1,202.88
24.5,0.14,1,202.96
24.5,0.16,1,203.04
24.5,0.17,1,203.11
24.75,0.16,1,203.19
24.75,0.14,1,203.27
24.5,0.17,1,203.35
24.5,0.17,1,203.43
24.75,0.16,1,203.51
24.75,0.14,1,203.59
24.75,0.17,1,203.66
24.75,0.16,1,203.74
24.5,0.16,1,203.82
24.5,0.16,1,203.9
24.75,0.17,1,203.98
24.75,0.17,1,204.05
24.5,0.16,1,204.13
24.5,0.16,1,204.21
24.5,0.16,1,204.29
24.5,0.16,1,204.37
24.5,0.16,1,204.45
0,0.17,1,204.53
24.5,0.17,1,204.6
0,0.16,1,204.68
24.5,0.14,1,204.76
24.5,0.14,1,204.84
0,0.17,1,204.92
24.75,0.14,1,205
0,0.16,1,205.07
24.75,0.17,1,205.15
24.75,0.16,1,205.23
24.5,0.14,1,205.31
24.75,0.16,1,205.39
24.5,0.17,1,205.47
24.5,0.16,1,205.54
24.75,0.16,1,205.62
24.75,0.16,1,205.7
24.5,0.17,1,205.78
24.5,0.16,1,205.86
24.5,0.16,1,205.94
24.75,0.16,1,206.02
24.75,0.16,1,206.09
24.75,0.16,1,206.17
24.5,0.14,1,206.25
24.5,0.16,1,206.33
24.75,0.16,1,206.41
0,0.16,1,206.48
24.5,0.16,1,206.56
24.75,0.17,1,206.64
24.5,0.17,1,206.72
24.5,0.14,1,206.8
24.5,0.16,1,206.88
0,0.16,1,206.96
24.5,0.16,1,207.03
24.5,0.16,1,207.11
24.75,0.16,1,207.19
24.5,0.16,1,207.27
24.5,0.16,1,207.35
24.5,0.14,1,207.43
24.75,0.16,1,207.5
24.5,0.17,1,207.58
24.75,0.16,1,207.66
24.5,0.14,1,207.74
24.75,0.16,1,207.82
0,0.16,1,207.9
24.75,0.16,1,207.98
24.5,0.14,1,208.05
24.5,0.17,1,208.13
24.75,0.17,1,208.21
24.75,0.16,1,208.29
24.5,0.16,1,208.37
0,0.17,1,208.45
24.5,0.16,1,208.52
24.5,0.14,1,208.6
24.75,0.17,1,208.68
24.5,0.16,1,208.76
24.5,0.14,1,208.84
24.75,0.16,1,208.92
24.75,0.16,1,208.99
24.75,0.17,1,209.07
24.5,0.14,1,209.15
0,0.16,1,209.23
24.5,0.16,1,209.31
24.5,0.17,1,209.38
24.75,0.16,1,209.46
24.75,0.16,1,209.54
24.75,0.16,1,209.62
24.75,0.16,1,209.7
24.75,0.14,1,209.78
0,0.16,1,209.86
24.75,0.16,1,209.94
24.75,0.16,1,210.01
0,0.16,1,210.09
24.75,0.16,1,210.17
24.75,0.16,1,210.25
0,0.16,1,210.33
24.5,0.16,1,210.4
24.5,0.16,1,210.48
24.5,0.16,1,210.56
24.75,0.16,1,210.64
24.5,0.16,1,210.72
0,0.16,1,210.8
24.75,0.16,1,210.87
24.75,0.16,1,210.95
24.75,0.16,1,211.03
24.75,0.17,1,211.11
0,0.14,1,211.19
24.5,0.14,1,211.27
24.5,0.17,1,211.35
0,0.16,1,211.42
24.5,0.14,1,211.5
24.75,0.14,1,211.58
24.75,0.17,1,211.66
24.75,0.16,1,211.74
24.75,0.14,1,211.82
24.75,0.14,1,211.89
0,0.17,1,211.97
24.75,0.16,1,212.05
24.5,0.14,1,212.13
24.75,0.17,1,212.21
24.75,0.16,1,212.29
24.75,0.14,1,212.36
0,0.14,1,212.44
24.5,0.16,1,212.52
24.75,0.16,1,212.6
24.5,0.16,1,212.68
24.75,0.16,1,212.76
24.5,0.17,1,212.83
24.5,0.16,1,212.91
24.75,0.16,1,212.99
24.75,0.16,1,213.07
24.75,0.16,1,213.15
24.75,0.16,1,213.23
24.75,0.16,1,213.3
24.5,0.16,1,213.38
0,0.16,1,213.46
24.75,0.16,1,213.54
24.5,0.16,1,213.62
24.75,0.17,1,213.7
24.5,0.17,1,213.77
24.75,0.16,1,213.85
0,0.16,1,213.93
24.75,0.17,1,214.01
24.75,0.16,1,214.09
0,0.16,1,214.17
24.75,0.16,1,214.24
24.75,0.17,1,214.32
24.75,0.16,1,214.4
0,0.16,1,214.48
24.5,0.16,1,214.56
24.75,0.17,1,214.64
24.75,0.16,1,214.72
24.5,0.14,1,214.79
24.75,0.17,1,214.87
24.5,0.16,1,214.95
24.75,0.14,1,215.03
24.75,0.14,1,215.11
0,0.17,1,215.18
24.75,0.17,1,215.26
24.75,0.16,1,215.34
24.5,0.16,1,215.42
24.75,0.16,1,215.5
24.75,0.16,1,215.58
24.5,0.16,1,215.66
0,0.14,1,215.73
24.5,0.17,1,215.81
24.5,0.14,1,215.89
24.5,0.14,1,215.97
24.75,0.16,1,216.05
